iter	Passed	Remaining
166	282	1411
167	283	1402
168	283	1395
169	284	1389
170	285	1382
171	285	1376
172	286	1371
173	287	1364
174	288	1358
175	288	1352
176	289	1347
177	290	1342
178	291	1336
179	292	1331
180	292	1325
181	293	1320
182	294	1314
183	295	1308
184	295	1303
185	296	1297
186	297	1292
187	297	1286
188	298	1281
189	299	1276
190	300	1271
191	300	1265
192	301	1261
193	302	1256
194	303	1251
195	304	1247
196	304	1242
197	305	1237
198	306	1232
199	307	1228
200	307	1223
201	308	1218
202	309	1214
203	309	1209
204	310	1204
205	311	1199
206	312	1195
207	312	1190
208	313	1185
209	313	1181
210	314	1176
211	315	1172
212	316	1168
213	316	1163
214	317	1159
215	318	1154
216	318	1150
217	319	1147
218	320	1143
219	321	1139
220	322	1135
221	323	1132
222	323	1128
223	324	1124
224	325	1119
225	325	1116
226	326	1112
227	327	1108
228	328	1104
229	328	1100
230	329	1097
231	330	1093
232	331	1089
233	331	1086
234	332	1082
235	333	1078
236	334	1075
237	334	1072
238	335	1068
239	336	1065
240	337	1062
241	337	1058
242	338	1055
243	339	1051
244	340	1048
245	340	1044
246	341	1041
247	342	1037
248	342	1034
249	343	1030
250	344	1027
251	345	1024
252	345	1021
253	346	1017
254	347	1014
255	347	1011
256	348	1008
257	349	1005
258	350	1002
259	351	999
260	351	995
261	352	992
262	353	989
263	354	986
264	354	983
265	355	980
266	356	977
267	356	974
268	357	971
269	358	968
270	359	965
271	359	963
272	360	960
273	361	957
274	362	954
275	362	952
276	363	949
277	364	947
278	365	944
279	366	941
280	366	938
281	367	936
282	368	933
283	369	930
284	370	928
285	370	925
286	371	922
287	372	920
288	372	917
289	373	914
290	374	912
291	375	909
292	375	907
293	376	904
294	377	901
295	378	899
296	378	897
297	379	894
298	380	891
299	381	889
300	381	886
301	382	884
302	383	881
303	384	879
304	384	876
305	385	874
306	386	872
307	387	869
308	387	867
309	388	865
310	389	862
311	390	860
312	391	858
313	391	855
314	392	853
315	393	851
316	393	848
317	394	846
318	395	844
319	396	841
320	396	839
321	397	836
322	398	834
323	398	832
324	399	829
325	400	827
326	401	825
327	401	823
328	402	821
329	403	819
330	404	817
331	405	815
332	406	813
333	407	811
334	407	809
335	408	807
336	409	805
337	410	803
338	410	801
339	411	799
340	412	796
341	413	794
342	413	792
343	414	790
344	415	788
345	415	786
346	416	784
347	417	782
348	418	780
349	419	778
350	419	776
351	420	774
352	421	772
353	421	769
354	422	767
355	423	765
356	424	763
357	424	761
358	425	759
359	426	757
360	427	755
361	427	753
362	428	752
363	429	750
364	430	748
365	431	746
366	431	744
367	432	743
368	433	741
369	434	739
370	434	737
371	435	735
372	436	733
373	436	731
374	437	729
375	438	727
376	439	725
377	439	723
378	440	721
379	441	720
380	442	718
381	442	716
382	443	714
383	444	712
384	444	710
385	445	708
386	446	706
387	447	706
388	448	704
389	449	702
390	450	700
391	450	699
392	451	697
393	452	695
394	453	693
395	453	692
396	454	690
397	455	689
398	456	687
399	457	685
400	458	684
401	458	682
402	459	681
403	460	679
404	461	678
405	462	676
406	463	674
407	463	673
408	464	671
409	465	669
410	466	668
411	467	666
412	467	665
413	468	663
414	469	661
415	470	660
416	471	658
417	472	657
418	472	655
419	473	654
420	474	652
421	475	651
422	476	649
423	477	648
424	478	646
425	478	645
426	479	643
427	480	642
428	481	640
429	482	639
430	482	637
431	483	636
432	484	634
433	485	633
434	486	631
435	487	630
436	487	628
437	488	626
438	489	625
439	490	623
440	490	622
441	491	620
442	492	619
443	493	617
444	494	616
445	495	615
446	496	613
447	497	612
448	497	610
449	498	609
450	499	608
451	500	606
452	501	605
453	502	603
454	502	602
455	503	600
456	504	599
457	505	597
458	505	596
459	506	594
460	507	593
461	508	592
462	509	590
463	510	589
464	510	587
465	511	586
466	512	584
467	513	583
468	513	581
469	514	580
470	515	579
471	516	577
472	517	576
473	517	574
474	518	573
475	519	571
476	520	570
477	521	569
478	522	567
479	522	566
480	523	564
481	524	563
482	525	562
483	526	561
484	526	559
485	527	558
486	528	556
487	529	555
